"","ORF","AVGEXP_glu6hr","SD_glu6hr","CV_glu6hr","AVGEXP_glu12hr","SD_glu12hr","CV_glu12hr","AVGEXP_lag1hr","SD_lag1hr","CV_lag1hr","AVGEXP_lag3hr","SD_lag3hr","CV_lag3hr","AVGEXP_glumal","SD_glumal","CV_glumal","DM_glu6hr","FF_glu6hr","DM_glu12hr","FF_glu12hr","DM_lag1hr","FF_lag1hr","DM_lag3hr","FF_lag3hr","DM_glumal","FF_glumal"
"1","YDL248W",0.0218289085545723,0.146167753053646,NA,0.00821167883211679,0.0902866813628507,NA,0.0383959044368601,0.209248552453687,NA,0.0251872021783526,0.161033941112821,NA,0.0204081632653061,0.141495070788178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","YDL247W-A",0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","YDL247W",0.00117994100294985,0.0343401290275066,NA,0.000912408759124088,0.0302061046665085,NA,0,0,NA,0.00544588155207624,0.073620061478054,NA,0.0043731778425656,0.0660333963998944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","YDL246C",0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","YDL245C",0,0,NA,0,0,NA,0,0,NA,0.00204220558202859,0.0451599743754949,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","YDL244W",0.0188790560471976,0.136138060624007,NA,0.0164233576642336,0.127154957283166,NA,0.0145051194539249,0.119611572350704,NA,0.0306330837304289,0.17628761648967,NA,0.0233236151603499,0.160413799565827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","YDL243C",0.0454277286135693,0.213894655819007,NA,0.0346715328467153,0.192751008743221,NA,0.0213310580204778,0.144547125601415,NA,0.0578624914908101,0.247716668466257,NA,0.0379008746355685,0.226088856827831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","YDL242W",0,0,NA,0,0,NA,0,0,NA,0.00136147038801906,0.0368855385737368,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","YDL241W",0.0418879056047198,0.217349547227696,NA,0.0319343065693431,0.18102271425899,NA,0.0290102389078498,0.177788031124748,NA,0.0068073519400953,0.0822533737520588,NA,0.0160349854227405,0.125701623077456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","YDL240C-A",0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","YDL240W",0.0713864306784661,0.266555980692458,NA,0.0684306569343066,0.266668437317056,NA,0.0221843003412969,0.153031446317482,NA,0.0326752893124575,0.181635744482489,NA,0.0597667638483965,0.249231117441313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","YDL239C",0.0294985250737463,0.172701764600288,NA,0.0255474452554745,0.16902803402307,NA,0.00853242320819113,0.0920154619238747,NA,0.0980258679373724,0.327949075407509,NA,0.0189504373177843,0.136449473629703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","YDL238C",0.0206489675516224,0.146339205300845,NA,0.00912408759124088,0.0951267317345163,NA,0.0290102389078498,0.167906819847395,NA,0.0544588155207624,0.2358290130685,NA,0.0116618075801749,0.10743665959011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","YDL237W",0.499115044247788,0.74797983440986,NA,0.312043795620438,0.61583445404794,NA,0.193686006825939,0.493366133965341,NA,0.421375085091899,0.788269248150952,NA,0.278425655976676,0.520836917340634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","YDL236W",0.833628318584071,1.02768156036604,NA,0.604014598540146,0.830987933670165,NA,0.185153583617747,0.436214670272587,NA,0.137508509189925,0.372983480235204,NA,0.731778425655977,0.964060171911856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","YDL235C",0.631858407079646,0.912422352316569,NA,0.493613138686131,0.824264050862411,NA,0.177474402730375,0.440368338404224,NA,0.323349217154527,0.589074646026289,NA,0.583090379008746,0.891782311491868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","YDL234C",0.0843657817109145,0.290478265819362,NA,0.0456204379562044,0.213085568385225,NA,0.318259385665529,0.621483617279801,NA,0.243022464261402,0.529922736295817,NA,0.065597667638484,0.264845651114493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","YDL233W",0.0336283185840708,0.180323705127417,NA,0.0182481751824818,0.146916670993612,NA,0.045221843003413,0.219857966574136,NA,0.0388019060585432,0.196682795831768,NA,0.0233236151603499,0.151039329520322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","YDL232W",0.00825958702064897,0.0905328766811259,NA,0.0136861313868613,0.116237467647533,NA,0.0068259385665529,0.0823719278221696,NA,0.0163376446562287,0.126813537859201,NA,0.021865889212828,0.146352297989222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
