"COMMON","AVGEXP_YPD","AVGEXP_SD","DM_YPD","DM_YPD_CLASS","DM_SD","AvPromNucOcc","Num_RegTF_YeastractYT","MedPosDM_SD_TFYT","maxDM_TFYT","PosCorTF_YT","NumPosCor_withinTFs","NumNegCor_withinTFs","PercNegCor_withinTFs","PercPosCorWN_OVsites","N_TFSites400","N_TFSites500","N_TFSites600","N_TFSites700","N_TFSites800","N_TFSites900","N_TFSites1000","NumSites","NumOverlaps","RatOverlap.Numsites","NumCoopTF_Yang2010","NumCoopTF_Chen2012","PercCoopTF_Yang2010","Gb_H3K79me3_vsH3","Pugh2004_SAGA_Dominance","Pugh2004_TFIID_Dominance","ORF","location","chr"
"AAC1",0.466,0.466,0.317,2,0.317,0.61,31,NA,0.472,12,29,0,0,6.9,0,3,2,1,1,3,1,16,3,0.19,6,15,19.35,0.483,NA,NA,"YMR056C",-387315,13
"AAC3",0.416,0.416,-0.031,2,-0.031,0.43,29,0.597,0.597,4,28,4,13.79,10.71,2,0,1,4,2,3,8,24,4,0.17,8,11,27.59,0.606,NA,NA,"YBR085W",415983,2
"AAD14",0.379,0.379,0.104,2,0.104,0.71,22,NA,0.472,4,16,0,0,6.25,0,3,0,0,4,1,0,8,2,0.25,6,12,27.27,0.822,NA,NA,"YNL331C",-16118,14
"AAD6",0.841,0.841,0.319,2,0.319,0.84,29,0.597,0.597,6,29,1,3.45,0,0,0,0,0,0,0,0,0,0,0,6,14,20.69,1.104,NA,NA,"YFL056C",-14305,6
"AAH1",4.627,4.627,0.02,2,0.02,0.72,52,NA,0.268,2,50,7,13.46,28,2,0,2,0,2,0,1,18,20,1.11,11,30,21.15,0.912,0,1,"YNL141W",359596,14
"AAP1",0.609,0.609,-0.095,2,-0.095,0.67,23,NA,0.192,4,19,0,0,5.26,1,2,0,0,1,2,3,15,4,0.27,3,6,13.04,1.225,NA,NA,"YHR047C",-198740,8
"AAT1",1.732,1.732,-0.006,2,-0.006,0.73,26,0.597,0.597,10,25,0,0,0,1,2,0,0,2,1,0,11,1,0.09,5,8,19.23,1.031,0,1,"YKL106W",237536,11
"AAT2",7.482,7.482,-0.041,2,-0.041,0.67,30,0.597,0.597,7,28,1,3.33,10.71,2,1,1,1,1,2,3,14,3,0.21,8,16,26.67,1.267,NA,NA,"YLR027C",-196829,12
"ABD1",0.68,0.68,0.14,2,0.14,0.79,12,NA,0.115,1,6,0,0,0,0,2,1,1,2,0,4,10,0,0,2,5,16.67,1.658,0,1,"YBR236C",-690383,2
"ABF1",0.475,0.475,0.032,2,0.032,0.57,18,NA,0.115,5,11,1,5.56,9.09,3,0,0,0,0,2,1,7,2,0.29,2,4,11.11,1.544,0,1,"YKL112W",226570,11
"ABF2",5.366,5.366,-0.024,2,-0.024,0.7,46,NA,0.25,10,46,3,6.52,19.57,0,0,0,1,2,4,3,19,13,0.68,17,22,36.96,1.462,0,1,"YMR072W",411569,13
"ABM1",0.218,0.218,-0.082,2,-0.082,0.83,29,NA,0.26,4,25,1,3.45,4,1,0,0,1,3,1,3,11,3,0.27,12,15,41.38,0.77,NA,NA,"YJR108W",628712,10
"ABP1",2.372,2.372,-0.03,2,-0.03,0.8,37,0.597,0.597,4,37,6,16.22,48.65,3,2,4,3,3,1,1,27,18,0.67,16,17,43.24,1.232,0,1,"YCR088W",265068,3
"ABP140",5.416,5.416,-0.031,2,-0.031,0.71,43,NA,0.406,4,40,12,27.91,10,3,3,0,0,0,1,2,14,5,0.36,13,22,30.23,1.347,0,1,"YOR239W",784857,15
"ABZ1",0.85,0.85,0.228,2,0.228,0.73,24,NA,0.26,5,20,10,41.67,5,1,2,0,0,1,3,1,12,5,0.42,2,16,8.33,1.193,0,1,"YNR033W",687635,14
"ABZ2",0.903,0.903,-0.11,2,-0.11,0.81,22,NA,0.268,4,11,2,9.09,9.09,1,0,0,0,1,2,0,7,1,0.14,2,9,9.09,1.299,NA,NA,"YMR289W",848685,13
"ACA1",0.444,0.444,-0.057,2,-0.057,0.47,26,NA,0.472,8,21,0,0,47.62,5,1,1,0,0,7,3,18,12,0.67,7,12,26.92,0.975,NA,NA,"YER045C",-240032,5
"ACB1",26.099,26.099,-0.066,2,-0.066,0.63,46,0.597,0.597,7,45,15,32.61,11.11,2,3,3,4,0,4,3,23,6,0.26,20,28,43.48,0.797,0,1,"YGR037C",-559731,7
"ACC1",6.786,6.786,0.028,2,0.028,0.53,35,0.597,0.597,6,33,1,2.86,15.15,3,0,1,0,3,3,3,15,6,0.4,12,18,34.29,1.547,0,0,"YNR016C",-654673,14
"ACF2",0.4,0.4,-0.096,2,-0.096,0.79,14,NA,0.115,2,10,0,0,10,1,0,0,0,3,1,0,6,3,0.5,0,7,0,1.239,0,1,"YLR144C",-429677,12
"ACF4",0.461,0.461,-0.187,2,-0.187,0.79,16,NA,0.143,7,8,3,18.75,0,0,0,0,2,1,1,1,7,0,0,2,7,12.5,1.262,0,1,"YJR083C",-582608,10
"ACH1",1.058,1.058,0.129,2,0.129,0.59,52,1.395,1.395,17,51,8,15.38,72.55,0,6,3,4,4,15,8,46,43,0.93,21,30,40.38,0.598,0,1,"YBL015W",194122,2
"ACK1",0.743,0.743,-0.183,2,-0.183,0.79,12,NA,0.472,1,5,0,0,0,0,0,1,1,1,1,2,8,0,0,0,4,0,1.214,NA,NA,"YDL203C",-96082,4
"ACM1",0.362,0.362,0.833,1,0.833,0.71,26,0.597,0.597,3,25,1,3.85,0,2,0,2,1,1,0,1,9,0,0,7,13,26.92,0.9,NA,NA,"YPL267W",38169,16
"ACO1",1.459,1.459,0.218,2,0.218,0.54,58,0.597,0.597,15,57,3,5.17,12.28,4,3,4,4,3,3,0,23,7,0.3,23,31,39.66,1.144,NA,NA,"YLR304C",-735212,12
"ACO2",1.271,1.271,0.204,2,0.204,0.72,45,0.597,0.597,6,45,3,6.67,8.89,2,2,2,0,3,4,3,20,5,0.25,11,27,24.44,1.198,NA,NA,"YJL200C",-56444,10
"ACP1",7.705,7.705,-0.084,2,-0.084,0.79,34,0.597,0.597,0,32,5,14.71,3.12,2,2,0,3,0,2,4,16,2,0.12,9,17,26.47,0.976,0,1,"YKL192C",-80160,11
"ACS1",0.061,0.061,0.191,2,0.191,0.62,30,1.395,1.395,9,29,1,3.33,37.93,0,3,1,2,4,1,14,28,13,0.46,8,9,26.67,0.459,NA,NA,"YAL054C",-42881,1
"ACS2",5.044,5.044,-0.078,2,-0.078,0.56,36,0.597,0.597,2,36,3,8.33,8.33,0,0,3,2,1,4,0,14,3,0.21,15,23,41.67,1.231,1,0,"YLR153C",-445524,12
"ACT1",45.606,45.606,-0.062,2,-0.062,0.68,23,0.597,0.597,3,20,0,0,25,1,3,5,0,3,1,2,17,8,0.47,4,11,17.39,1.554,NA,NA,"YFL039C",-53260,6
"ADA2",0.321,0.321,-0.226,2,-0.226,0.58,26,NA,0.251,7,24,4,15.38,0,2,1,0,1,2,4,2,17,1,0.06,4,15,15.38,1.435,0,1,"YDR448W",1356065,4
"ADD37",0.696,0.696,0.009,2,0.009,0.71,35,NA,0.115,3,35,5,14.29,5.71,0,1,1,2,0,0,3,13,2,0.15,5,14,14.29,0.874,NA,NA,"YMR184W",628189,13
"ADD66",1.076,1.076,-0.13,2,-0.13,0.79,51,0.597,0.597,13,51,10,19.61,1.96,3,0,0,1,1,1,1,11,1,0.09,20,22,39.22,1.177,NA,NA,"YKL206C",-49006,11
"ADE1",4.763,4.763,0.115,2,0.115,0.72,48,0.996,1.395,8,47,1,2.13,82.98,2,3,0,3,6,5,16,39,39,1,19,18,39.58,1.03,1,0,"YAR015W",169375,1
"ADE12",7.255,7.255,0.011,2,0.011,0.65,35,0.597,0.597,5,34,4,11.43,5.88,0,2,4,3,0,2,1,16,3,0.19,10,14,28.57,1.03,1,0,"YNL220W",234413,14
"ADE13",8.7,8.7,0.115,2,0.115,0.78,38,0.597,0.597,6,38,7,18.42,10.53,3,1,3,3,0,3,4,19,6,0.32,16,12,42.11,1.474,NA,NA,"YLR359W",844282,12
"ADE16",2.196,2.196,-0.062,2,-0.062,0.76,35,NA,0.472,6,34,4,11.43,38.24,1,2,0,0,1,0,1,15,14,0.93,13,15,37.14,1.228,0,1,"YLR028C",-199540,12
"ADE2",3.309,3.309,0.11,2,0.11,0.7,17,NA,0.268,2,15,0,0,6.67,0,0,1,0,0,0,0,5,1,0.2,3,5,17.65,1.56,1,0,"YOR128C",-564476,15
"ADE3",2.774,2.774,0.024,2,0.024,0.41,35,0.597,0.597,6,35,2,5.71,40,0,1,2,2,3,8,3,25,15,0.6,13,17,37.14,1.25,1,0,"YGR204W",905934,7
"ADE4",5.827,5.827,-0.045,2,-0.045,0.76,32,0.597,0.597,3,28,4,12.5,0,1,0,1,1,0,2,2,9,0,0,6,12,18.75,1.317,1,0,"YMR300C",-865559,13
"ADE6",1.917,1.917,0.075,2,0.075,0.78,28,0.597,0.597,2,27,1,3.57,7.41,1,2,0,0,5,1,3,17,4,0.24,8,14,28.57,1.397,0,1,"YGR061C",-611889,7
"ADE8",2.747,2.747,-0.07,2,-0.07,0.76,20,0.597,0.597,1,14,0,0,7.14,0,1,0,2,2,1,7,16,4,0.25,7,7,35,0.947,0,1,"YDR408C",-1288215,4
"ADF1",1.416,1.416,-0.053,2,-0.053,0.79,4,NA,0.12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.614,NA,NA,"YCL058W-A",23584,3
"ADH1",196.116,196.116,0.069,2,0.069,0.46,54,0.996,1.395,1,53,14,25.93,47.17,6,1,3,2,6,2,3,24,25,1.04,27,30,50,0.773,NA,NA,"YOL086C",-159548,15
"ADH2",0.059,0.059,0.565,1,0.565,0.71,58,0.996,1.395,14,55,8,13.79,30.91,1,3,3,2,2,0,5,28,23,0.82,23,28,39.66,0.968,1,0,"YMR303C",-873291,13
"ADH3",5.261,5.261,-0.002,2,-0.002,0.46,44,0.597,0.597,5,44,12,27.27,15.91,5,4,1,2,1,2,5,24,7,0.29,15,17,34.09,1.115,0,1,"YMR083W",434788,13
"ADH4",1.588,1.588,-0.099,2,-0.099,0.73,38,0.996,1.395,8,35,6,16.22,31.43,5,1,0,3,3,5,5,26,11,0.42,9,21,23.68,1.014,NA,NA,"YGL256W",15159,7
"ADH6",8.738,8.738,-0.073,2,-0.073,0.67,33,1.395,1.395,4,29,3,9.09,0,0,2,2,0,0,1,2,12,0,0,14,17,42.42,1.242,0,1,"YMR318C",-911061,13
"ADI1",0.987,0.987,-0.023,2,-0.023,0.67,41,NA,0.26,4,40,7,17.5,5,1,1,2,2,2,3,1,14,3,0.21,14,14,34.15,0.961,NA,NA,"YMR009W",284102,13
"ADK1",14.713,14.713,-0.105,2,-0.105,0.66,26,0.597,0.597,3,25,0,0,8,0,2,1,4,0,2,6,17,2,0.12,6,10,23.08,1.181,0,1,"YDR226W",916486,4
"ADK2",0.383,0.383,-0.178,2,-0.178,0.72,28,NA,0.472,5,26,3,10.71,7.69,3,0,1,1,2,1,5,17,3,0.18,4,10,14.29,0.595,NA,NA,"YER170W",525974,5
"ADO1",12.478,12.478,-0.085,2,-0.085,0.64,24,NA,0.26,1,21,1,4.17,19.05,2,3,2,2,1,0,2,15,4,0.27,5,11,20.83,1.022,0,1,"YJR105W",623581,10
"ADP1",0.419,0.419,-0.147,2,-0.147,0.45,17,NA,0.137,6,10,0,0,0,2,1,3,0,4,2,0,13,1,0.08,4,9,23.53,1.456,0,1,"YCR011C",-133724,3
"ADR1",0.846,0.846,0.076,2,0.076,0.54,45,NA,0.472,17,42,11,24.44,52.38,2,3,1,4,4,6,13,34,27,0.79,14,25,31.11,0.965,NA,NA,"YDR216W",895035,4
"ADY2",0.029,0.029,-0.351,2,-0.351,0.68,54,1.395,1.395,16,51,11,20.75,45.1,6,3,7,7,3,5,6,45,27,0.6,14,23,25.93,0.368,NA,NA,"YCR010C",-132273,3
"ADY3",0.151,0.151,0.72,1,0.72,0.87,22,NA,0.153,2,13,0,0,15.38,1,1,0,1,2,5,3,14,5,0.36,5,11,22.73,0.995,NA,NA,"YDL239C",-26403,4
"ADY4",0.403,0.403,-0.03,2,-0.03,0.71,23,NA,0.472,7,22,0,0,0,1,1,0,3,0,3,1,11,0,0,5,6,21.74,0.943,NA,NA,"YLR227C",-590562,12
"AEP2",0.55,0.55,-0.143,2,-0.143,0.79,13,NA,0.272,1,6,0,0,0,1,0,1,1,0,1,0,4,0,0,2,4,15.38,1.141,NA,NA,"YMR282C",-833356,13
"AEP3",0.237,0.237,-0.083,2,-0.083,0.71,20,NA,0.21,6,17,0,0,0,0,0,1,2,1,1,1,8,0,0,4,9,20,0.974,NA,NA,"YPL005W",548486,16
"AFB1",0.971,0.971,0.068,2,0.068,0.77,57,1.151,1.705,5,56,22,38.6,26.79,3,4,7,2,0,0,3,25,16,0.64,23,28,40.35,0.549,NA,NA,"YLR040C",-228908,12
"AFG1",0.671,0.671,-0.11,2,-0.11,0.73,22,0.597,0.597,8,18,1,4.55,16.67,0,2,3,0,5,2,1,17,3,0.18,4,10,18.18,1.049,0,1,"YEL052W",56571,5
"AFG2",1.009,1.009,-0.076,2,-0.076,0.78,19,0.597,0.597,5,8,1,5.26,0,0,1,0,0,2,1,0,8,2,0.25,4,7,21.05,1.268,0,1,"YLR397C",-912550,12
"AFG3",2.029,2.029,0.016,2,0.016,0.53,15,0.597,0.597,5,9,0,0,11.11,1,0,0,1,1,1,5,10,4,0.4,0,8,0,1.293,0,1,"YER017C",-189503,5
"AFI1",0.113,0.113,-0.314,2,-0.314,0.81,19,1.395,1.395,7,16,1,5.26,0,0,0,0,1,1,0,1,3,0,0,5,7,26.32,1.238,NA,NA,"YOR129C",-566877,15
"AFR1",0.245,0.245,0.055,2,0.055,0.65,34,1.395,1.395,5,32,11,32.35,34.38,3,4,1,2,4,3,7,29,12,0.41,13,17,38.24,0.722,NA,NA,"YDR085C",-614288,4
"AFT1",1.778,1.778,-0.014,2,-0.014,0.61,37,0.597,0.597,7,36,10,27.03,5.56,0,2,1,4,2,5,3,22,4,0.18,11,18,29.73,1.622,NA,NA,"YGL071W",372012,7
"AGA1",0.408,0.408,0.885,1,0.885,0.73,85,1.395,1.705,20,83,23,27.38,62.65,1,1,11,1,5,5,2,29,53,1.83,40,48,47.06,1.168,1,0,"YNR044W",703699,14
"AGA2",1.156,1.156,0.476,2,0.476,0.66,96,1.395,1.705,13,95,17,17.71,24.21,2,4,6,2,7,6,3,42,23,0.55,45,49,46.88,0.415,NA,NA,"YGL032C",-436570,7
"AGC1",0.153,0.153,-0.269,2,-0.269,0.72,19,NA,0.403,7,15,1,5.26,0,3,1,0,1,1,0,1,7,0,0,0,8,0,1.087,NA,NA,"YPR021C",-600649,16
